ID,Zeile (Rohquelle),Marke,Modell,Brutto kWh,Netto kWh,Puffer kWh,Puffer %,Status,Alias von Zeile,Modelljahr von,Modelljahr bis,Batterie-Generation,Bemerkung,Quelle,Issue,Marke (Rohquelle),Modell (Rohquelle),Brutto (Rohquelle),Netto (Rohquelle)
Z002,2,Audi,e-tron 50 quattro,71.0,64.7,6.3,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron 50 quattro,71 kWh,64.7 kWh
Z003,3,Audi,e-tron 55 quattro,95.0,83.6,11.4,12.0,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,83.6 kWh
Z004,4,Audi,e-tron 55 quattro,95.0,86.5,8.5,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,86.5 kWh
Z005,5,Audi,e-tron 55 quattro,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,e-tron 55 quattro,95 kWh,89.0 kWh
Z006,6,Audi,e-tron GT,93.4,83.7,9.7,10.4,unverändert,,,,,,Rohquelle,,Audi,e-tron GT,93.4 kWh,83.7 kWh
Z007,7,Audi,e-tron S quattro,95,86.5,8.5,8.9,korrigiert,,2020,2022,95 kWh,105/97 sind die Werte der großen Taycan-Batterie. Der e-tron S (SUV) hat dieselbe 95-kWh-Batterie wie der Sportback S.,https://ev-database.org/car/1658/Audi-e-tron-S https://ev-database.org/car/1659/Audi-e-tron-S-Sportback,#5,Audi,e-tron S quattro,105 kWh,97.0 kWh
Z008,8,Audi,e-tron Sportback 50 quattro,71.0,64.7,6.3,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 50 quattro,71 kWh,64.7 kWh
Z009,9,Audi,e-tron Sportback 55 quattro,95.0,83.6,11.4,12.0,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,83.6 kWh
Z010,10,Audi,e-tron Sportback 55 quattro,95.0,86.5,8.5,8.9,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,86.5 kWh
Z011,11,Audi,e-tron Sportback 55 quattro,95.0,89.0,6.0,6.3,unverändert,,,,,,Rohquelle,,Audi,e-tron Sportback 55 quattro,95 kWh,89.0 kWh
